章	节	题目ID	难度
线性数据结构	栈	11211527	5
		952218	7
		11504322	8
	队列	11211537	5
		170383	10
双端队列	11506247	5
		★1497534	18
简单数学	位运算	11318062	8
		11001473	6
		11506547	6
		11506559	7
		314260	6
			
	质数和约数	11231946	5
		11254600	7
		11461212	12
		10858410	13
	最大公约数与最小公倍数	11231920	6
		11078069	10
		11231927	14
		1264072	10
		10802997	14
函数	函数的定义和调用	811745	10
		11507078	12
	递归	11477827	7
		2049537	11
		11507175	10
		2370533	7
动态规划入门	dp入门模型	11506477	8
		11506448	8
		10794910	9
		352863	9
		2219863	9
			
			
			
	线性dp	11506582	10
		1832016	8
		1115884	10
			
	前缀和与差分	2021480	7
		11094156	8
		11256432	12
		1831946	12
dp入门综练	11255450	12
		1950251	12
		814697	13
		★11506730	15
			
			
